ticker,pcd,year,runup,window
AMPE,2021-07-13,2021,-0.2471284548194701,-0.05840730794658455
AMPE,2017-12-07,2017,0.6676096268536096,0.3401045675782237
KALA,2017-10,2017,-0.03720989429243371,-0.021589789373821056
KALA,2020-02-05,2020,0.44365103558575925,0.41635575980398265
KALA,2018-09-28,2018,-0.14162009941142362,-0.3715252189520637
EVFM,2018-11-29,2018,0.011084010311514625,-0.10657715274226565
EVFM,2022-07-28,2022,0.6326326491321579,-1.3795276560691336
EVFM,2019-08-22,2019,0.16433980275610693,-0.05637447534164597
MRK,2017-10-10,2017,-0.10484710260442709,-0.07640099389157662
MRK,2024-03-20,2024,-0.04645546863946404,0.1094358426395301
MRK,2023-10-02,2023,0.1054260868165775,-0.0606314054653323
MRK,2019-07-10,2019,0.01381678571277778,0.10970939923937184
MRK,2023-07-13,2023,0.019038152549907927,0.01219661329415711
MRK,2024-03-06,2024,-0.04515943479400697,0.15280503541181822
ACRS,2019-06-20,2019,-0.26197971603625914,-1.6817016487262528
ACRS,2019-04-21,2019,-0.07779526420477145,-0.17897294803024288
ACRS,2019-11-27,2019,0.27239539045253575,-0.264391113939464
IPIX,2022-04-24,2022,0.0007629354625784401,-0.2174116791766405
SLS,2025-12,2025,-0.32979072862483255,0.8692382224799704
BIIB,2021-10-25,2021,-0.0892093238910201,-0.11055974599427287
BIIB,2019-12-20,2019,-0.1680495363174046,0.10488802566510635
BIIB,2024-09-11,2024,-0.09876125484119935,-0.198623033890434
BIIB,2017-02-20,2017,-0.15583850733951365,-0.030473061604344487
BIIB,2023-07-27,2023,-0.07625465927764186,0.08973925881117228
BIIB,2023-08-21,2023,0.0034429211418292027,0.10452676004059303
BIIB,2023-08-23,2023,-0.016452062529895173,0.12474514725539265
ACET,2019-12-02,2019,-2.0553815729667155,0.13887840336852886
ACET,2019-11-15,2019,-0.15906530999002388,-1.8475564809133216
INCY,2024-04-25,2024,0.05038417502528336,0.08672892109151853
INCY,2018-01-08,2018,-0.17155785485243413,-0.13476232288388434
INCY,2019-11-18,2019,0.06213277597556477,-0.199285491516763
INCY,2023-10-17,2023,-0.025688505999556632,-0.03386241905969545
INCY,2024-05-17,2024,-0.0009552068549329995,0.08330821027769586
INCY,2024-12-30,2024,-0.05666279316669076,0.10398838476574834
UTHR,2025-06-30,2025,-0.1171255294805773,-0.025851100656329784
UTHR,2020-03-02,2020,0.18759900747880387,0.0463317721605323
RYTM,2020-05-25,2020,-0.09411018039485874,0.029395238544454916
